"id";"name";"host_id";"host_name";"neighbourhood";"latitude";"longitude";"room_type";"price";"minimum_nights";"number_of_reviews";"last_review";"reviews_per_month";"calculated_host_listings_count";"availability_365";"number_of_reviews_ltm"
"11508";"Amazing Luxurious Apt-Palermo Soho";42762;"Candela";"Palermo";-34.58184;-58.42415;"Entire home/apt";67518.0;3;44;"2025-01-26";0.29;1;300;5
"16695";"DUPLEX LOFT 2 - SAN TELMO";64880;"Elbio Mariano";"Monserrat";-34.61439;-58.37611;"Entire home/apt";52511.0;2;45;"2019-11-30";0.27;9;365;0
"31514";"BEAUTY DUPLEX LOFT #4 SAN TELMO";64880;"Elbio Mariano";"Monserrat";-34.61494;-58.37517;"Entire home/apt";73515.0;2;41;"2024-12-21";0.24;9;40;2
"53097";"Duplex-Loft in  Historic Quartier of Buenos Aires";64880;"Elbio Mariano";"Monserrat";-34.61494;-58.37517;"Entire home/apt";63013.0;2;37;"2022-07-05";0.21;9;50;0
"69086";"Little Duplex Loft (1) San Telmo";64880;"Elbio Mariano";"Monserrat";-34.61495;-58.37517;"Entire home/apt";42009.0;2;41;"2024-04-23";0.28;9;53;1
"71801";"Studio in Recoleta most secure area";368954;"Carlos";"Recoleta";-34.59514;-58.39914;"Entire home/apt";44109.0;3;111;"2025-01-20";0.66;1;364;7
"77404";"Beautiful Duplex - Trendy Palermo";161327;"Mariano";"Palermo";-34.56692;-58.43324;"Entire home/apt";99771.0;2;54;"2024-12-16";0.34;14;30;8
"77994";"Studio 1A - Corazon de San Telmo";64880;"Elbio Mariano";"San Telmo";-34.62014;-58.37371;"Entire home/apt";48005.0;2;7;"2024-08-23";0.04;9;20;1
"78005";"SOFA STUDIO, SAN TELMO, 1B";64880;"Elbio Mariano";"San Telmo";-34.61998;-58.37151;"Entire home/apt";31507.0;2;16;"2022-11-09";0.1;9;42;0
"78009";"STUDIO DEFENSA 2A en San Telmo";64880;"Elbio Mariano";"San Telmo";-34.61998;-58.37151;"Entire home/apt";36758.0;2;46;"2024-12-11";0.27;9;53;2
